,Date,CRWD,DDOG,SNOW,SOFI,UPST,^GSPC
261,2018-12-17,0.0,0.0,0.0,0.0,0.0,2545.93994140625
262,2018-12-18,0.0,0.0,0.0,0.0,0.0,2546.159912109375
263,2018-12-19,0.0,0.0,0.0,0.0,0.0,2506.9599609375
264,2018-12-20,0.0,0.0,0.0,0.0,0.0,2467.419921875
265,2018-12-21,0.0,0.0,0.0,0.0,0.0,2416.6201171875
266,2018-12-24,0.0,0.0,0.0,0.0,0.0,2351.10009765625
267,2018-12-26,0.0,0.0,0.0,0.0,0.0,2467.699951171875
268,2018-12-27,0.0,0.0,0.0,0.0,0.0,2488.830078125
269,2018-12-28,0.0,0.0,0.0,0.0,0.0,2485.739990234375
270,2018-12-31,0.0,0.0,0.0,0.0,0.0,2506.85009765625
271,2019-01-02,0.0,0.0,0.0,0.0,0.0,2510.030029296875
272,2019-01-03,0.0,0.0,0.0,0.0,0.0,2447.889892578125
273,2019-01-04,0.0,0.0,0.0,0.0,0.0,2531.93994140625
274,2019-01-07,0.0,0.0,0.0,0.0,0.0,2549.68994140625
275,2019-01-08,0.0,0.0,0.0,0.0,0.0,2574.409912109375
276,2019-01-09,0.0,0.0,0.0,0.0,0.0,2584.9599609375
277,2019-01-10,0.0,0.0,0.0,0.0,0.0,2596.639892578125
278,2019-01-11,0.0,0.0,0.0,0.0,0.0,2596.260009765625
279,2019-01-14,0.0,0.0,0.0,0.0,0.0,2582.610107421875
280,2019-01-15,0.0,0.0,0.0,0.0,0.0,2610.300048828125
281,2019-01-16,0.0,0.0,0.0,0.0,0.0,2616.10009765625
282,2019-01-17,0.0,0.0,0.0,0.0,0.0,2635.9599609375
283,2019-01-18,0.0,0.0,0.0,0.0,0.0,2670.7099609375
284,2019-01-22,0.0,0.0,0.0,0.0,0.0,2632.89990234375
285,2019-01-23,0.0,0.0,0.0,0.0,0.0,2638.699951171875
286,2019-01-24,0.0,0.0,0.0,0.0,0.0,2642.330078125
287,2019-01-25,0.0,0.0,0.0,0.0,0.0,2664.760009765625
288,2019-01-28,0.0,0.0,0.0,0.0,0.0,2643.85009765625
289,2019-01-29,0.0,0.0,0.0,0.0,0.0,2640.0
290,2019-01-30,0.0,0.0,0.0,0.0,0.0,2681.050048828125
291,2019-01-31,0.0,0.0,0.0,0.0,0.0,2704.10009765625
292,2019-02-01,0.0,0.0,0.0,0.0,0.0,2706.530029296875
293,2019-02-04,0.0,0.0,0.0,0.0,0.0,2724.8701171875
294,2019-02-05,0.0,0.0,0.0,0.0,0.0,2737.699951171875
295,2019-02-06,0.0,0.0,0.0,0.0,0.0,2731.610107421875
296,2019-02-07,0.0,0.0,0.0,0.0,0.0,2706.050048828125
297,2019-02-08,0.0,0.0,0.0,0.0,0.0,2707.8798828125
298,2019-02-11,0.0,0.0,0.0,0.0,0.0,2709.800048828125
299,2019-02-12,0.0,0.0,0.0,0.0,0.0,2744.72998046875
300,2019-02-13,0.0,0.0,0.0,0.0,0.0,2753.030029296875
301,2019-02-14,0.0,0.0,0.0,0.0,0.0,2745.72998046875
302,2019-02-15,0.0,0.0,0.0,0.0,0.0,2775.60009765625
303,2019-02-19,0.0,0.0,0.0,0.0,0.0,2779.760009765625
304,2019-02-20,0.0,0.0,0.0,0.0,0.0,2784.699951171875
305,2019-02-21,0.0,0.0,0.0,0.0,0.0,2774.8798828125
306,2019-02-22,0.0,0.0,0.0,0.0,0.0,2792.669921875
307,2019-02-25,0.0,0.0,0.0,0.0,0.0,2796.110107421875
308,2019-02-26,0.0,0.0,0.0,0.0,0.0,2793.89990234375
309,2019-02-27,0.0,0.0,0.0,0.0,0.0,2792.3798828125
310,2019-02-28,0.0,0.0,0.0,0.0,0.0,2784.489990234375
311,2019-03-01,0.0,0.0,0.0,0.0,0.0,2803.68994140625
312,2019-03-04,0.0,0.0,0.0,0.0,0.0,2792.81005859375
313,2019-03-05,0.0,0.0,0.0,0.0,0.0,2789.64990234375
314,2019-03-06,0.0,0.0,0.0,0.0,0.0,2771.449951171875
315,2019-03-07,0.0,0.0,0.0,0.0,0.0,2748.929931640625
316,2019-03-08,0.0,0.0,0.0,0.0,0.0,2743.070068359375
317,2019-03-11,0.0,0.0,0.0,0.0,0.0,2783.300048828125
318,2019-03-12,0.0,0.0,0.0,0.0,0.0,2791.52001953125
319,2019-03-13,0.0,0.0,0.0,0.0,0.0,2810.919921875
320,2019-03-14,0.0,0.0,0.0,0.0,0.0,2808.47998046875
321,2019-03-15,0.0,0.0,0.0,0.0,0.0,2822.47998046875
322,2019-03-18,0.0,0.0,0.0,0.0,0.0,2832.93994140625
323,2019-03-19,0.0,0.0,0.0,0.0,0.0,2832.570068359375
324,2019-03-20,0.0,0.0,0.0,0.0,0.0,2824.22998046875
325,2019-03-21,0.0,0.0,0.0,0.0,0.0,2854.8798828125
326,2019-03-22,0.0,0.0,0.0,0.0,0.0,2800.7099609375
327,2019-03-25,0.0,0.0,0.0,0.0,0.0,2798.360107421875
328,2019-03-26,0.0,0.0,0.0,0.0,0.0,2818.4599609375
329,2019-03-27,0.0,0.0,0.0,0.0,0.0,2805.3701171875
330,2019-03-28,0.0,0.0,0.0,0.0,0.0,2815.43994140625
331,2019-03-29,0.0,0.0,0.0,0.0,0.0,2834.39990234375
332,2019-04-01,0.0,0.0,0.0,0.0,0.0,2867.18994140625
333,2019-04-02,0.0,0.0,0.0,0.0,0.0,2867.239990234375
334,2019-04-03,0.0,0.0,0.0,0.0,0.0,2873.39990234375
335,2019-04-04,0.0,0.0,0.0,0.0,0.0,2879.389892578125
336,2019-04-05,0.0,0.0,0.0,0.0,0.0,2892.739990234375
337,2019-04-08,0.0,0.0,0.0,0.0,0.0,2895.77001953125
338,2019-04-09,0.0,0.0,0.0,0.0,0.0,2878.199951171875
339,2019-04-10,0.0,0.0,0.0,0.0,0.0,2888.2099609375
340,2019-04-11,0.0,0.0,0.0,0.0,0.0,2888.320068359375
341,2019-04-12,0.0,0.0,0.0,0.0,0.0,2907.409912109375
342,2019-04-15,0.0,0.0,0.0,0.0,0.0,2905.580078125
343,2019-04-16,0.0,0.0,0.0,0.0,0.0,2907.06005859375
344,2019-04-17,0.0,0.0,0.0,0.0,0.0,2900.449951171875
345,2019-04-18,0.0,0.0,0.0,0.0,0.0,2905.030029296875
346,2019-04-22,0.0,0.0,0.0,0.0,0.0,2907.969970703125
347,2019-04-23,0.0,0.0,0.0,0.0,0.0,2933.679931640625
348,2019-04-24,0.0,0.0,0.0,0.0,0.0,2927.25
349,2019-04-25,0.0,0.0,0.0,0.0,0.0,2926.169921875
350,2019-04-26,0.0,0.0,0.0,0.0,0.0,2939.8798828125
351,2019-04-29,0.0,0.0,0.0,0.0,0.0,2943.030029296875
352,2019-04-30,0.0,0.0,0.0,0.0,0.0,2945.830078125
353,2019-05-01,0.0,0.0,0.0,0.0,0.0,2923.72998046875
354,2019-05-02,0.0,0.0,0.0,0.0,0.0,2917.52001953125
355,2019-05-03,0.0,0.0,0.0,0.0,0.0,2945.639892578125
356,2019-05-06,0.0,0.0,0.0,0.0,0.0,2932.469970703125
357,2019-05-07,0.0,0.0,0.0,0.0,0.0,2884.050048828125
358,2019-05-08,0.0,0.0,0.0,0.0,0.0,2879.419921875
359,2019-05-09,0.0,0.0,0.0,0.0,0.0,2870.719970703125
360,2019-05-10,0.0,0.0,0.0,0.0,0.0,2881.39990234375
361,2019-05-13,0.0,0.0,0.0,0.0,0.0,2811.8701171875
362,2019-05-14,0.0,0.0,0.0,0.0,0.0,2834.409912109375
363,2019-05-15,0.0,0.0,0.0,0.0,0.0,2850.9599609375
364,2019-05-16,0.0,0.0,0.0,0.0,0.0,2876.320068359375
365,2019-05-17,0.0,0.0,0.0,0.0,0.0,2859.530029296875
366,2019-05-20,0.0,0.0,0.0,0.0,0.0,2840.22998046875
367,2019-05-21,0.0,0.0,0.0,0.0,0.0,2864.360107421875
368,2019-05-22,0.0,0.0,0.0,0.0,0.0,2856.27001953125
369,2019-05-23,0.0,0.0,0.0,0.0,0.0,2822.239990234375
370,2019-05-24,0.0,0.0,0.0,0.0,0.0,2826.06005859375
371,2019-05-28,0.0,0.0,0.0,0.0,0.0,2802.389892578125
372,2019-05-29,0.0,0.0,0.0,0.0,0.0,2783.02001953125
373,2019-05-30,0.0,0.0,0.0,0.0,0.0,2788.860107421875
374,2019-05-31,0.0,0.0,0.0,0.0,0.0,2752.06005859375
